"","X.x","primacy_agency_code","pwsid","centroid_lat","centroid_lon","DAC_pre","DAC_post","pop.x","urban","rural","pop_adjust.x","urban_adjust","rural_adjust","pop.y","hisp","white","black","aian","asian","nhpi","other","pop_adjust.y","hisp_adjust","white_adjust","black_adjust","aian_adjust","asian_adjust","nhpi_adjust","other_adjust","...1","mhi_all_weighted","mhi_all_unweighted","mhi_centroid_weighted","mhi_centroid_unweighted","StateCode","PopulationServedCount","X.y","health_based_count","total_count","white_percent","hisp_percent","black_percent","aian_percent","asian_percent","nhpi_percent","other_percent","urban_percent","rural_percent","X","PARTY"
"163",163,"AK","AK2111566",59.230491,-135.444007,1,0,1619,0,1619,811.576126803072,0,811.576126803072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64664.3574833174,65781,NA,NA,"AK",1748,696,5,18,NA,NA,NA,NA,NA,NA,NA,0,100,661,"Democrat"
"164",164,"AK","AK2211813",61.11505,-149.78105,0,0,658,658,0,59.8513098021598,59.8513098021598,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134148,134148,NA,NA,"AK",75,795,0,16,NA,NA,NA,NA,NA,NA,NA,100,0,662,"Democrat"
"165",165,"AK","AK2240456",59.6475029,-151.5130952,1,0,6437,0,6437,5125.60257985218,0,5125.60257985218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71772.079790332,69527.8,66324,66324,"AK",7008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,663,"Democrat"
"166",166,"AK","AK2270257",59.1271649,-161.575325,1,0,182,0,182,169.876501191957,0,169.876501191957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31463,31463,NA,NA,"AK",250,1345,1,172,NA,NA,NA,NA,NA,NA,NA,0,100,664,"Democrat"
"167",167,"AK","AK2340484",66.2329659,-166.1253304,1,0,576,0,576,463.658234138516,0,463.658234138516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47107,47107,NA,NA,"AK",572,1566,21,72,NA,NA,NA,NA,NA,NA,NA,0,100,665,"Democrat"
"168",168,"AK","AK2240472",61.0994247,-151.338909,1,0,117,0,117,66.2945562882056,0,66.2945562882056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41250,41250,NA,NA,"AK",206,1083,0,15,NA,NA,NA,NA,NA,NA,NA,0,100,666,"Democrat"
"169",169,"AK","AK2110342",58.3729099,-134.1784454,0,0,30040,22702,7338,28211.4760930681,21474.1763301049,6737.29976296318,30040,1911,18259,309,3142,1963,463,3993,28211.4760429965,1811.87964960589,16892.6606000698,300.044404347023,3049.30644205159,1889.58283520926,457.985647759719,3810.01646395323,NA,92009.0595027971,91979.3913043478,92850.459764475,97501,"AK",38526,680,0,1,59.8786840303005,6.42249149546249,1.06355443398187,10.8087447725323,6.69792261960839,1.62340193424021,13.5052007138743,76.1185847180162,23.8814152819838,667,"Democrat"
"170",170,"AK","AK2249434",60.560166,-151.269636,1,0,394,146,248,57.9299832899254,57.1690541262785,0.760929163646934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51765.8323160938,47909.5,NA,NA,"AK",150,1216,0,24,NA,NA,NA,NA,NA,NA,NA,98.6864674898339,1.31353251016605,668,"Democrat"
"171",171,"AK","AK2314653",64.879056,-148.0411534,1,0,3045,1033,2012,2391.04381680654,952.834200664489,1438.20961614205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77845.4001772002,80048.1666666667,60574,60574,"AK",2400,1490,0,1,NA,NA,NA,NA,NA,NA,NA,39.8501354917488,60.1498645082512,669,"Democrat"
"172",172,"AK","AK2360442",66.0237107,-149.0803074,1,0,37,0,37,36.9166936458252,0,36.9166936458252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48438,48438,NA,NA,"AK",28,1588,1,38,NA,NA,NA,NA,NA,NA,NA,0,100,670,"Democrat"
"173",173,"AK","AK2210906",61.177549,-149.274354,0,0,1197,0,1197,304.229335063739,0,304.229335063739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136869.054938272,134674.666666667,152307.678888571,153262,"AK",221351,773,0,3,NA,NA,NA,NA,NA,NA,NA,0,100,671,"Democrat"
"174",174,"AK","AK2315586",64.8365307,-147.6517447,1,0,34554,34018,536,32453.2738643648,32446.246024584,7.02783978082061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75274.9191926247,72304.7037037037,70365.1034536003,68519.4705882353,"AK",325,1496,0,1,NA,NA,NA,NA,NA,NA,NA,99.9783447432447,0.0216552567552745,672,"Democrat"
"175",175,"AK","AK2220138",61.555251,-149.425035,0,0,572,0,572,36.1655436686207,0,36.1655436686207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93071,93071,NA,NA,"AK",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,673,"Democrat"
"176",176,"AK","AK2220439",61.5971678,-149.1146791,1,0,235,235,0,51.9614026199001,51.9614026199001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82121.5850992639,73399.5,NA,NA,"AK",266,933,1,2,NA,NA,NA,NA,NA,NA,NA,100,0,674,"Democrat"
